#{"t_start": 1593113258.1125731, "env_id": "AntBulletEnv-v0"}
r,l,t
174.465238,373,1.346942
456.576628,1000,2.286691
512.334978,1000,3.234408
477.952477,1000,4.173173
470.398301,1000,5.107307
50.937285,119,5.218267
469.291744,1000,6.146805
161.51235,338,6.4745
417.715628,1000,7.406025
505.900445,1000,8.328685
460.267384,1000,9.261301
38.425217,107,9.363757
361.70174,810,10.138088
627.825411,1000,19.929843
